scenario,apply_risk_caps,num_events,num_trades,win_rate,sharpe_ratio,profit_factor,total_pnl,max_drawdown_pct,average_win,average_loss
A_BaseCase_NoCaps,False,50000,6426,62.04481792717087,0.4869933167611613,4.409614742953215,40134.62740016208,0.10735733126512764,13.018721526877126,4.8261645459192355
A_BaseCase_WithCaps,True,50000,2,50.0,-0.30540502235387557,0.532091546877648,-2.343134838444892,39.54092855614012,2.6645431011374323,5.007677939582324
B_NoiseRobustness_NoCaps,False,50000,6426,62.06037970743853,0.4914769755982155,4.48981875319585,41255.42021009168,0.13365334784326144,13.309195450234634,4.848913554324872
B_NoiseRobustness_WithCaps,True,50000,4,50.0,-0.28483889455211964,0.45557756754621465,-4.350217872963322,56.677427773341336,1.8201506392087667,3.9952595756904277
C_ParameterSweep_NoCaps,False,50000,6426,62.20043572984749,0.4751111064696054,4.290506542884229,38556.68396296325,0.1361562571444041,12.577992670654245,4.824023360083065
C_ParameterSweep_WithCaps,True,50000,2,50.0,-0.30540502235387557,0.532091546877648,-2.343134838444892,39.54092855614012,2.6645431011374323,5.007677939582324
D_RegimeShifts_NoCaps,False,50000,6426,62.66728913787737,0.47640263775033237,4.3262356647657985,38822.421766598374,0.11714889443922584,12.538862824940464,4.865185006017871
D_RegimeShifts_WithCaps,True,50000,6426,62.916277622159974,0.4859107694621381,4.470460749763092,39991.933521238316,33.47260837372315,12.741888772036523,4.835720849393768
E_StressMarket_NoCaps,False,50000,6426,62.55835667600373,0.4856267341314563,4.430986413679279,39778.176399162854,0.13258936428079576,12.779099050202209,4.818703982813813
E_StressMarket_WithCaps,True,50000,2,50.0,-0.30540502235387557,0.532091546877648,-2.343134838444892,39.54092855614012,2.6645431011374323,5.007677939582324
